title,description,connection_type,what,category,items,Acom Store Labels,ADP,AMI phone audit,AS400,ASRS,Benefit Express,Best Buy Rewards,C3 inbound shipments,Cast Iron salesforce interface,Comm Data v-card,Data Warehouse,Decartes transpo mgt,Ebanking,EC Utopia    edi,Eite Rewards,FedEX Small Parcels,Financial Budgeting,FinFit employee loans,First Data Bank Card Returns,Franchise AR,Franchises Delivery,GERS,Google Live Ramp Sales Data,Health Advocate health benefits,In Contact,Kount Fraud Check,Mass Mutual 401k,NCOA change of address,Oracle EBS,PerZip4 Address Verif,PNC,Product creation,Progressive lease to own,Red Carpet onboarding,Red Prairie. WMS,Reuters Thomspon Tax ,ROIG planning,Sage FAS fixed assets,Salesforce Commerce Cloud,Salesforce Marketing Cloud,Salesforce Service Cloud,SenSource Store Traffic,Serveco Field Srvce Mgt,Silk Road applicants,Synchrony consumer credit,Televox autocalls for delivery,Tempurpedic Sales Data,Tempus CC Payment Gateway,Tidewater consumer credit,Time and Expenses,TL Ashford Warehouse Labels,Unibar,Versatile,Wells Fargo expenses,Wolverine Warranty,,,,,
System to System,Depicts system to system dependencies,System to System,System,,Acom Store Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,ADP,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,, , , , , 
,,System to System,System,,AMI phone audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,AS400,x,,x,,x,,x,,,,x,x,,x,x,x,,,x,,x,x,x,,,,,x,,x,,x,x,,,x,,,x,x,x,x,x,,x,x,x,x,x,,x,,,,x,,,,,
,,System to System,System,,ASRS,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Benefit Express,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Best Buy Rewards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,C3 inbound shipments,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Cast Iron salesforce interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Comm Data v-card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Data Warehouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Decartes transpo mgt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Ebanking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,EC Utopia    edi,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Eite Rewards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,FedEX Small Parcels,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Financial Budgeting,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,FinFit employee loans,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,First Data Bank Card Returns,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Franchise AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Franchises Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,GERS,,,,,,,,,x,,,x,,x,,,,,,,,,,,x,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Google Live Ramp Sales Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Health Advocate health benefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,In Contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Kount Fraud Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,x, ,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Mass Mutual 401k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,NCOA change of address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Oracle EBS,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,, ,,,,,,,,,,,,,,x,,,,,,
,,System to System,System,,PerZip4 Address Verif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,
,,System to System,System,,PNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Product creation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Progressive lease to own,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
,,System to System,System,,Red Carpet onboarding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
,,System to System,System,,Red Prairie. WMS,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
,,System to System,System,,Reuters Thomspon Tax ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,ROIG planning,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Sage FAS fixed assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Salesforce Commerce Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Salesforce Marketing Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Salesforce Service Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,SenSource Store Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Serveco Field Srvce Mgt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Silk Road applicants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Synchrony consumer credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
,,System to System,System,,Televox autocalls for delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Tempurpedic Sales Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Tempus CC Payment Gateway,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Tidewater consumer credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
,,System to System,System,,Time and Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,TL Ashford Warehouse Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Unibar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Versatile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,x,,,,,,,,,,,
,,System to System,System,,Wells Fargo expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System to System,System,,Wolverine Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,