,,,,,,,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,filters,,,,,,
,,,,,,,All,Lenses,Lenses,Lenses,Lenses,Lenses,Lenses,Lenses,Lenses,Lenses,Lenses,Lenses,Lenses,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,button,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,button,button,button,button,button,button
title ,description, , , ,,,All,Action,Action,Action,Action,Focus,Focus,Focus,Focus,Focus,Parity,Parity,Parity,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,AI Start up capabilities Focus,Warrants & Rights,Warrants & Rights,Warrants & Rights,Warrants & Rights,Warrants & Rights,Prospect & Appraisal,Prospect & Appraisal,Prospect & Appraisal,Prospect & Appraisal,Prospect & Appraisal,Prospect & Appraisal,Exploration & Drilling,Exploration & Drilling,Exploration & Drilling,Exploration & Drilling,Exploration & Drilling,Exploration & Drilling,Exploration & Drilling,Exploration & Drilling,Production & Operations,Production & Operations,Production & Operations,Production & Operations,Production & Operations,Production & Operations,Production & Operations,Production & Operations,Abandonment,Abandonment,Abandonment,Abandonment,Technology Programs,Technology Programs,Technology Programs,Technology Programs,Technology Programs,Technology Programs
On Business Units (compare),Depiction of which parts of the business drive the majority of economic value,Business Units,Departments,CAPABILITIES,FTE,Cost,All,Automate,Outsource,Invest,Leave,Execution,Compliance,Revenue,Market Insight,Customer Cares,Gap,Competitive,Ahead,3d scanning,AI monitoring,Asset monitoring,Asset tracking,Augmented Reality,Atomomous well operations,Battery storage,Biofuels optimization,Blending optimization,Blockchain - financials,Blockchain - monitoring,Blockchain - payments,Drilling monitoring,Exploration 3d imaging,Exploration reservoir mapping,Exploration satellite,Fiber Optic IoT subsea,Forecasting,Gas purification,Geoscience discovery viz,Heavy oil cleaup,IoT asset tracking,IoT Monitoring,IoT subsea monitoring,Leak detection_ultrasound,Leak detection,Monitoring infrared imaging,NLP seismic,Flow Optimization,Gas compression,Oil recovery,Oil waste,Optical multiphase flow,Predictive analytics,Predictive analytics rig failures,Predictive analytics for production optimization,Predictive analytics monitoring,Predictive analytics partnership,Predictive analytics pricing,Predictive analytics strategy,Price optimization,Production forecasting,Rig decommissioning,Robotic monitoring,Seismic interpretation,Seismic monitoring,Simulation  exploration,Smart asset management,Trading,Virtual Reality,Water optimization,Well operations,Overall,Reserves Potential,Reserves Under Contract,Sourcing & Partners,Licensing,Overall,Seismic Monitoring,Forecasting,Market Assessment,Reservoir Modeling & Sim,Data Mgt & Analytics,Overall,Infrastructure Set-up,Risk Modeling,Forecasting,Hydrocarbon Analysis & Monitoring,Sourcing,Procurement & Servicing,Quality & Risk Mgt,Overall,Field Optimization,Program Mgt,Partner Mgt,Reserves Accounting,Production Accounting,Tax and Royalty Accounting,Quality & Risk Mgt,Overall,Forecasting,Sourcing & Partners,Quality & Risk Mgt,Tech Variables,AS/4,Customer Experience,Inventory Warehouse,Seismic Monitoring,Precision Analytics
,,Liquids,Trade / Risk Mgt,Trading Strategy,720,"$310,000 ",x,,,x,,,,x,,,,x,,,,,,,,,,,,,,,,,x,x,x,,x,,,,,,,,,,,,,,x,,,,,,x,,,,,,,x,,x,,,,x,x,x,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,x,,,,
,,Liquids,Trade / Risk Mgt,Risk / Hedging Strategy,620,"$93,000 ",x,,,x,,,,x,,,,x,,,,,,,,,x,,,,,,,,x,x,x,,x,,,,,,,,,,,,,,x,,,,,,x,,,,,,,x,,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
,,Liquids,Trade / Risk Mgt,Market Analysis & Supplier Adaptation,320,"$48,000 ",x,,x,,,,,x,,,,x,,,,x,,,,,x,,,,,,,x,x,x,x,,x,,,,,,,,,,,,,,x,,,,,x,x,x,,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,x,
,,Liquids,Trade / Risk Mgt,Position Monitoring,800,"$120,000 ",x,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
,,Liquids,Trade / Risk Mgt,Spot Market / Supplier Opp Mgt,420,"$310,000 ",x,,x,R,,x,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,x,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Liquids,Trade / Risk Mgt,Spot Trade Execution,600,"$90,000 ",x,,x,,,,,,,x,,x,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
,,Liquids,Trade / Risk Mgt,Settlement,400,"$310,000 ",x,,,,x,,x,,,,x,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
,,Liquids,Trade / Risk Mgt,Risk Adjustment,240,"$310,000 ",x,,,,x,,,x,,,x,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
,,Liquids,Supply Chain,Network Planning,240,"$36,000 ",x,,,,x,,,,x,,,x,,,,,,,,,,,,,,,,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
,,Liquids,Supply Chain,Price Benchmarking / Monitoring,500,"$75,000 ",x,,,x,,,,,x,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
,,Liquids,Supply Chain,Negotiations,560,"$84,000 ",x,,,x,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Liquids,Supply Chain,Price Forecasting,440,"$310,000 ",x,,,x,,,,,x,,,,x,,,,,,,,x,,,,,,,x,x,x,x,,x,,,,,,,,,,,,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
,,Liquids,Supply Chain,Supply Chain Planning,320,"$310,000 ",x,,,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
,,Liquids,Supply Chain,Inventory Mgt,180,"$27,000 ",x,,,x,,x,,,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,x,,x,,,,x,,x,,x,,,,x,,x,,,,,,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,
,,Liquids,Supply Chain,Partner Management,240,"$36,000 ",x,,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,
,,Liquids,Supply Chain,Partner Adjustments & Settlement,250,"$37,500 ",x,,x,,,,x,,,,,x,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,x,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,x,
,,Liquids,Plant Operations,Ops Planning,320,"$48,000 ",x,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,x,x,,,,x,,,x,,,,,,,,,,,,,,,,,,,x,x,,,,x,,,x,
,,Liquids,Plant Operations,Plant Unit Optimization,800,"$120,000 ",x,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,x,
,,Liquids,Plant Operations,Plant Scheduling / Blend Planning,720,"$108,000 ",x,,x,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,x,,x,,,,,,,
,,Liquids,Plant Operations,Asset Mgt,700,"$105,000 ",x,,x,,,x,,,,,x,,,,x,x,x,x,,,,,,,,x,,,,,x,,,,x,x,,x,,,,,,,,,,,,x,,,,,,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,
,,Liquids,Plant Operations,Plant Ops Planning,600,"$90,000 ",x,,,,x,,x,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,x,,,,
,,Liquids,Plant Operations,Product Packaging,250,"$37,500 ",x,,x,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,
,,Liquids,Plant Operations,Inventory Mgt / Yield Accounting,320,"$48,000 ",x,,,,x,,,x,,,,x,,,,x,,x,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,x,,,,,,x,,x,,,, ,,x,,,,,,,,,,,,,,,x,,,,,,,x,x,x,,,,,,,,,,,,x,,,
,,Liquids,Plant Operations,Risk Monitoring,520,"$78,000 ",x,,,x,,,x,,,,x,,,,x,x,x,x,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,x,,,,,,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,x,,,x
,,Liquids,Engineering & Maintenance,Turnaround Planning,200,"$30,000 ",x,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,x,,,,,,,,x,,,x
,,Liquids,Engineering & Maintenance,Engineering Planning,200,"$30,000 ",x,,x,,,,,,,x,x,,,,x,,,x,,,x,,,,,,x,x,x,x,,,x,,,,,x,x,,,,,,,,,,x,x,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,x,,,x
,,Liquids,Engineering & Maintenance,Design,420,"$63,000 ",x,,x,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,x,x,,,
,,Liquids,Engineering & Maintenance,Maintenance Mgt & Scheduling,620,"$93,000 ",x,,,,x,x,,,,,,x,,,x,x,x,,,,x,,,,,,,,,,,,,,x,x,,x,x,,,,,,,,,,x,x,,,,,x,,x,,,,x,, ,,,x,x,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,x,x,,,
,,Liquids,Engineering & Maintenance,Materials Management,200,"$30,000 ",x,,,,x,x,,,,,x,,,x,,x,x,,,,x,,,,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,x,,,,x,, ,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,x,x,,,
,,Liquids,Engineering & Maintenance,Asset Monitoring & Predictive Maintenance,800,"$120,000 ",x,,,,x,,,x,,,,x,,x,x,x,x,x,,,,,,,,,,,,,,,,,x,x,,x,x,x,,,,,,,,,x,x,,,,,x,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,x,x,,,
,,Liquids,Engineering & Maintenance,Maintenance & Egineering Execution,1200,"$180,000 ",x,,x,,,,,x,,,,x,,x,,x,x,x,,,,,,,,,,,,,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,x,,x,x
,,Liquids,Product & Quality Mgt,New Product Dev,520,"$320,000 ",x,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
,,Liquids,Product & Quality Mgt,Lifecycle Planning,200,"$30,000 ",x,,x,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
,,Liquids,Product & Quality Mgt,Quality Monitoring,420,"$320,000 ",x,,,x,,,,,,x,x,,,,,x,x,x,,,,,,,,,,,,,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,x,,,,x,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Liquids,Product & Quality Mgt,Remediation,600,"$90,000 ",x,,,x,,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,
,,Liquids,Product & Quality Mgt,Lab Ops,420,"$320,000 ",x,,,x,,x,,,,,x,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,,,,,,
,,Liquids,Primary Distribution,Transport Planning,420,"$63,000 ",x,,,,x,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,x,,x,,
,,Liquids,Primary Distribution,Rsk Strategy,300,"$320,000 ",x,,,x,,,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,
,,Liquids,Primary Distribution,Transportation Qualification,200,"$179,000 ",x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
,,Liquids,Primary Distribution,Scheduling,240,"$179,000 ",x,,,,x,x,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
,,Liquids,Primary Distribution,Wharf / Berth Scheduling,240,"$36,000 ",x,,x,,,x,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,
,,Liquids,Primary Distribution,Spot Logistics,680,"$102,000 ",x,,x,,,x,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x
,,Liquids,Primary Distribution,Primary Distribution Ops,620,"$93,000 ",x,,,,x,x,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,,,,,,,,,,,,x,,x
,,Liquids,Primary Distribution,Distribution Settlement,320,"$179,000 ",x,,,,x,,,,,x,,,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,x,,x,,
,,Liquids,Primary Distribution,Remediation,400,"$310,000 ",x,,,,x,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,x,,x,,,,,,,,,,,,x,x,,
,,Liquids,Secondary Distribution / Wholesale Marketing,Transport Planning,150,"$22,500 ",x,,,x,,x,,,,,,x,,,x,,,,x,x,,,,,,,x,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,x,,x,,,,,,,,,,,,x,x,,
,,Liquids,Secondary Distribution / Wholesale Marketing,Pricing Strategy,320,"$48,000 ",x,,x,,,,,x,,,,x,,,,,,,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,x,,,,,,,,,,,x,x,,
,,Liquids,Secondary Distribution / Wholesale Marketing,Channel & Customer Strategy,200,"$30,000 ",x,,x,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x,,x,x,,,,,,,,,,,x,x,,
