title ,description,bars,bars,bars,waves,waves,waves,waves
Oil Production and Net Margin,Depicts Oil Production and Net Margin 2009-2017,Year,Group,Production Change,Year,Measure,Group,Net-Margin
,,2017,Saudi,5.3,2017,Oil / Gas Integrated,Global,4.25
,,2016,Saudi,2.8,2016,Oil / Gas Integrated,Global,0.83
,,2015,Saudi,4.7,2015,Oil / Gas Integrated,Global,1.85
,,2014,Saudi,0.1,2014,Oil / Gas Integrated,Global,6.12
,,2013,Saudi,-1.6,2013,Oil / Gas Integrated,Global,7.34
,,2012,Saudi,4.9,2012,Oil / Gas Integrated,Global,7.68
,,2011,Saudi,12.3,2011,Oil / Gas Integrated,Global,
,,2010,Saudi,-0.2,2010,Oil / Gas Integrated,Global,
,,2009,Saudi,-12.7,2009,Oil / Gas Integrated,Global,
,,2017,World - Saudi,1,2017,Oil/Gas (Production and Exploration),Global,-1.11
,,2016,World - Saudi,0.1,2016,Oil/Gas (Production and Exploration),Global,-48.07
,,2015,World - Saudi,2.7,2015,Oil/Gas (Production and Exploration),Global,-31.25
,,2014,World - Saudi,2.7,2014,Oil/Gas (Production and Exploration),Global,10.82
,,2013,World - Saudi,0.7,2013,Oil/Gas (Production and Exploration),Global,10.79
,,2012,World - Saudi,2.5,2012,Oil/Gas (Production and Exploration),Global,7.34
,,2011,World - Saudi,0,2011,Oil/Gas (Production and Exploration),Global,
,,2010,World - Saudi,2.7,2010,Oil/Gas (Production and Exploration),Global,
,,2009,World - Saudi,-0.2,2009,Oil/Gas (Production and Exploration),Global,
,,,,,2017,Oil/Gas Distribution,Global,4.79
,,,,,2016,Oil/Gas Distribution,Global,2.77
,,,,,2015,Oil/Gas Distribution,Global,4.08
,,,,,2014,Oil/Gas Distribution,Global,3.36
,,,,,2013,Oil/Gas Distribution,Global,4.24
,,,,,2012,Oil/Gas Distribution,Global,5.03
,,,,,2011,Oil/Gas Distribution,Global,
,,,,,2010,Oil/Gas Distribution,Global,
,,,,,2009,Oil/Gas Distribution,Global,
,,,,,2017,Oil / Gas Integrated,Emerging,4.49
,,,,,2016,Oil / Gas Integrated,Emerging,3.23
,,,,,2015,Oil / Gas Integrated,Emerging,3.88
,,,,,2014,Oil / Gas Integrated,Emerging,6.66
,,,,,2013,Oil / Gas Integrated,Emerging,8.26
,,,,,2012,Oil / Gas Integrated,Emerging,8.18
,,,,,2011,Oil / Gas Integrated,Emerging,
,,,,,2010,Oil / Gas Integrated,Emerging,
,,,,,2009,Oil / Gas Integrated,Emerging,
,,,,,2017,Oil/Gas (Production and Exploration),Emerging,7.23
,,,,,2016,Oil/Gas (Production and Exploration),Emerging,-2.27
,,,,,2015,Oil/Gas (Production and Exploration),Emerging,5.01
,,,,,2014,Oil/Gas (Production and Exploration),Emerging,1922
,,,,,2013,Oil/Gas (Production and Exploration),Emerging,17.31
,,,,,2012,Oil/Gas (Production and Exploration),Emerging,19.89
,,,,,2011,Oil/Gas (Production and Exploration),Emerging,
,,,,,2010,Oil/Gas (Production and Exploration),Emerging,
,,,,,2009,Oil/Gas (Production and Exploration),Emerging,
,,,,,2017,Oil/Gas Distribution,Emerging,2.77
,,,,,2016,Oil/Gas Distribution,Emerging,4.44
,,,,,2015,Oil/Gas Distribution,Emerging,5.84
,,,,,2014,Oil/Gas Distribution,Emerging,2.79
,,,,,2013,Oil/Gas Distribution,Emerging,3.24
,,,,,2012,Oil/Gas Distribution,Emerging,2.08
,,,,,2011,Oil/Gas Distribution,Emerging,
,,,,,2010,Oil/Gas Distribution,Emerging,
,,,,,2009,Oil/Gas Distribution,Emerging,
,,,,,2017,Oil / Gas Integrated,US,5.64
,,,,,2016,Oil / Gas Integrated,US,0.56
,,,,,2015,Oil / Gas Integrated,US,5.34
,,,,,2014,Oil / Gas Integrated,US,9.99
,,,,,2013,Oil / Gas Integrated,US,9.72
,,,,,2012,Oil / Gas Integrated,US,7.31
,,,,,2011,Oil / Gas Integrated,US,
,,,,,2010,Oil / Gas Integrated,US,
,,,,,2009,Oil / Gas Integrated,US,
,,,,,2017,Oil/Gas (Production and Exploration),US,-6.62
,,,,,2016,Oil/Gas (Production and Exploration),US,-8574
,,,,,2015,Oil/Gas (Production and Exploration),US,-54.71
,,,,,2014,Oil/Gas (Production and Exploration),US,7.52
,,,,,2013,Oil/Gas (Production and Exploration),US,7.68
,,,,,2012,Oil/Gas (Production and Exploration),US,5.16
,,,,,2011,Oil/Gas (Production and Exploration),US,
,,,,,2010,Oil/Gas (Production and Exploration),US,
,,,,,2009,Oil/Gas (Production and Exploration),US,
,,,,,2017,Oil/Gas Distribution,US,2.04
,,,,,2016,Oil/Gas Distribution,US,1.55
,,,,,2015,Oil/Gas Distribution,US,3.53
,,,,,2014,Oil/Gas Distribution,US,3.04
,,,,,2013,Oil/Gas Distribution,US,4.14
,,,,,2012,Oil/Gas Distribution,US,7.94
,,,,,2011,Oil/Gas Distribution,US,
,,,,,2010,Oil/Gas Distribution,US,
,,,,,2009,Oil/Gas Distribution,US,